Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
CUST001,39,1,5.0106352940962555,4,1,3,413,Potential Loyalist
CUST002,309,1,6.907755278982137,1,1,4,114,Lost Customers
CUST003,354,1,3.4011973816621555,1,1,1,111,Lost Customers
CUST004,226,1,6.214608098422191,2,1,3,213,Lost Customers
CUST005,241,1,4.605170185988092,2,1,2,212,Lost Customers
CUST006,252,1,3.4011973816621555,2,1,1,211,Lost Customers
CUST007,295,1,3.912023005428146,1,1,1,111,Lost Customers
CUST008,314,1,4.605170185988092,1,1,2,112,Lost Customers
CUST009,20,1,6.396929655216146,4,1,3,413,Potential Loyalist
CUST010,87,1,5.298317366548036,4,1,3,413,Potential Loyalist
CUST011,322,1,4.605170185988092,1,1,2,112,Lost Customers
CUST012,64,1,4.31748811353631,4,1,2,412,Potential Loyalist
CUST013,150,1,7.313220387090301,3,1,4,314,Potential Loyalist
CUST014,350,1,4.787491742782046,1,1,2,112,Lost Customers
CUST015,351,1,7.600902459542082,1,1,4,114,Lost Customers
CUST016,319,1,7.313220387090301,1,1,4,114,Lost Customers
CUST017,255,1,4.605170185988092,2,1,2,212,Lost Customers
CUST018,247,1,3.912023005428146,2,1,1,211,Lost Customers
CUST019,108,1,3.912023005428146,3,1,1,311,Potential Loyalist
CUST020,58,1,6.802394763324311,4,1,3,413,Potential Loyalist
CUST021,353,1,6.214608098422191,1,1,3,113,Lost Customers
CUST022,79,1,4.605170185988092,4,1,2,412,Potential Loyalist
CUST023,265,1,4.787491742782046,2,1,2,212,Lost Customers
CUST024,34,1,5.703782474656201,4,1,3,413,Potential Loyalist
CUST025,7,1,3.912023005428146,4,1,1,411,Potential Loyalist
CUST026,87,1,6.907755278982137,4,1,4,414,Potential Loyalist
CUST027,152,1,3.912023005428146,3,1,1,311,Potential Loyalist
CUST028,254,1,6.214608098422191,2,1,3,213,Lost Customers
CUST029,137,1,3.4011973816621555,3,1,1,311,Potential Loyalist
CUST030,65,1,6.802394763324311,4,1,3,413,Potential Loyalist
